<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GBPRUB_TOD,W,20210111,000000,100.4925000,101.0950000,99.9175000,100.2450000,4969000
GBPRUB_TOD,W,20210118,000000,100.3575000,104.9975000,100.1100000,102.4100000,6094000
GBPRUB_TOD,W,20210125,000000,102.8000000,104.5725000,102.3750000,103.9575000,8262000
GBPRUB_TOD,W,20210201,000000,103.8450000,105.9000000,102.4050000,102.7125000,6285000
GBPRUB_TOD,W,20210208,000000,102.1400000,102.5700000,100.2000000,102.5700000,5767000
GBPRUB_TOD,W,20210215,000000,102.0050000,103.5550000,101.7650000,103.5125000,4898000
GBPRUB_TOD,W,20210222,000000,104.9600000,106.9000000,101.5200000,103.9500000,1792000
GBPRUB_TOD,W,20210301,000000,103.7625000,106.5000000,102.5450000,102.8800000,11730000
GBPRUB_TOD,W,20210308,000000,102.8800000,103.0400000,102.2650000,102.2650000,2437000
GBPRUB_TOD,W,20210315,000000,102.0925000,103.3375000,100.7025000,103.0200000,4296000
GBPRUB_TOD,W,20210322,000000,102.9825000,105.0625000,102.9825000,104.7025000,6610000
GBPRUB_TOD,W,20210329,000000,104.3300000,105.2150000,103.6500000,104.9600000,2319000
GBPRUB_TOD,W,20210405,000000,106.1525000,107.6075000,102.8150000,105.9600000,5152000
GBPRUB_TOD,W,20210412,000000,106.1675000,106.7400000,103.4850000,104.6525000,6639000
GBPRUB_TOD,W,20210419,000000,105.4075000,107.2750000,103.7000000,103.7000000,3670000
GBPRUB_TOD,W,20210426,000000,104.0225000,104.3425000,103.5000000,104.3000000,9064000
GBPRUB_TOD,W,20210503,000000,104.3000000,104.4600000,102.9975000,102.9975000,5040000
GBPRUB_TOD,W,20210510,000000,104.8525000,104.9500000,103.8475000,104.0900000,3796000
GBPRUB_TOD,W,20210517,000000,104.3275000,104.7700000,103.8950000,104.2275000,5693000
GBPRUB_TOD,W,20210524,000000,104.1225000,104.4100000,102.1000000,104.1825000,3084000
GBPRUB_TOD,W,20210531,000000,104.3500000,104.3525000,103.2150000,103.3975000,3410000
GBPRUB_TOD,W,20210607,000000,103.0325000,103.2000000,101.3225000,101.4800000,4279000
GBPRUB_TOD,W,20210614,000000,101.4275000,101.8050000,100.0375000,100.3100000,2665000
GBPRUB_TOD,W,20210621,000000,100.7375000,101.8000000,100.2000000,100.2150000,3419000
GBPRUB_TOD,W,20210628,000000,100.5400000,101.4350000,100.1250000,101.2300000,4491000
GBPRUB_TOD,W,20210705,000000,101.3225000,103.6900000,101.3225000,102.5200000,5439000
GBPRUB_TOD,W,20210712,000000,103.3475000,103.6625000,102.2800000,102.3825000,2301000
GBPRUB_TOD,W,20210719,000000,102.0925000,102.4350000,100.9725000,101.1450000,2494000
GBPRUB_TOD,W,20210726,000000,101.8400000,102.3600000,101.6500000,101.7650000,1871000
GBPRUB_TOD,W,20210802,000000,101.7425000,101.8625000,101.1200000,101.8575000,1574000
GBPRUB_TOD,W,20210809,000000,102.1200000,102.4000000,101.2675000,101.3300000,1751000
GBPRUB_TOD,W,20210816,000000,101.5200000,103.8000000,100.8500000,101.2525000,3473000
GBPRUB_TOD,W,20210823,000000,101.0125000,101.8725000,101.0000000,101.4650000,1991000
GBPRUB_TOD,W,20210830,000000,101.1850000,101.2050000,100.3000000,100.5675000,2753000
GBPRUB_TOD,W,20210906,000000,101.0000000,101.2575000,98.2000000,100.9350000,3221000
GBPRUB_TOD,W,20210913,000000,101.0925000,101.1925000,100.0000000,100.1000000,1849000
GBPRUB_TOD,W,20210920,000000,100.1550000,103.9975000,99.2000000,99.8300000,1530000
GBPRUB_TOD,W,20210927,000000,99.2200000,99.5225000,97.5325000,98.8800000,1345000
GBPRUB_TOD,W,20211004,000000,98.5700000,99.1275000,97.5975000,98.0600000,4260000
GBPRUB_TOD,W,20211011,000000,97.9275000,98.4025000,97.5325000,97.8350000,1743000
GBPRUB_TOD,W,20211018,000000,97.5000000,98.3300000,96.4950000,96.9100000,2495000
GBPRUB_TOD,W,20211025,000000,96.8700000,97.3400000,95.5000000,97.3200000,2407000
GBPRUB_TOD,W,20211101,000000,97.2700000,98.3975000,96.6325000,98.0700000,2328000
GBPRUB_TOD,W,20211108,000000,96.1000000,96.9075000,95.0250000,96.9075000,6178000
GBPRUB_TOD,W,20211115,000000,97.4800000,98.7300000,96.8425000,98.7300000,2593000
GBPRUB_TOD,W,20211122,000000,98.5575000,100.7825000,95.7725000,100.5000000,3321000
GBPRUB_TOD,W,20211129,000000,100.2575000,103.0675000,97.6750000,97.6750000,1865000
GBPRUB_TOD,W,20211206,000000,99.7000000,99.7000000,96.7500000,96.8175000,2885000
GBPRUB_TOD,W,20211213,000000,97.0825000,98.1550000,96.9975000,98.0000000,2082000
GBPRUB_TOD,W,20211220,000000,98.2300000,98.5900000,97.4925000,98.5000000,5691000
GBPRUB_TOD,W,20211227,000000,98.9300000,100.6600000,98.7700000,100.6600000,1092000
